구분,⑪ 협업 유형 진단 (16유형·도감),⑫ 트로피,⑬ 업무 행위 구성 분석,⑭ 직무 괴리 감지 (폐기됨),⑮ 자기인식 갭 리포트,⑯ 동료 벤치마크 (추정)
기능 요약,"업무 부하 × 협업 점수 4분면과 주력 업무 행위(진행관리·문제 제기·명확화·실행·전달)를 조합해 16개 유형 중 하나를 판정. 기간마다 유형이 바뀌며 만난 유형은 도감에 수집. 최근 3기간 최빈값을 '대표 유형'으로 별도 표시하고 유형별 아바타를 부여","저장된 기록만으로 판정 가능한 12종 성취를 자동 수여(첫 기록·연속 기록·10점 이상 상승·전 축 70점·심야 발신 0건·벤치마크 상회·유형 수집·약속 이행 등). 규칙이 추가되면 과거 기록까지 재평가해 소급 지급","본인 메시지를 '무슨 주제였나'가 아니라 '그 발화에서 뭘 했나'로 분류. 진행관리(일정·담당 확인)·문제 제기(리스크를 먼저 꺼냄)·명확화(모호한 요청을 질문으로 좁힘)·실행·전달(결과물·결정 공유) 4개 행위 비율을 산출하고 기간별 변화를 누적 막대로 표시","[폐기] 설정한 공식 직무와 실제 메시지의 최다 도메인이 다르면 배너로 표시하는 기능이었음. 개발 중 리서치 결과 표준 역할모호성 척도(Role Questionnaire)가 측정하는 건 '도메인 비율 일치'가 아니라 '역할 기대의 명확성'이라는 게 확인되어 지표 자체를 폐기. 도메인 4분류를 행위 4분류(⑬)로 교체하면서 이 배너도 함께 제거","분석 전 사용자가 입력한 '이번엔 뭐 하느라 바빴는지'와 실제 업무 행위 구성(⑬)의 차이를 한 문장으로 제시. 예: '기획을 했다고 느꼈지만 메시지의 절반 이상이 진행관리였다'. 차이가 없으면 표시하지 않음","5개 축 각각에 대해 같은 직무·업무 성격에서 일반적으로 관찰되는 수준을 AI가 추정해 참고선으로 제공. 레이더·점수바·요약에 회색 눈금으로 겹쳐 표기"
MCP(범용 AI+Slack) 대비 차별점,"유형 판정 자체는 프롬프트로도 가능하나, 동일 산식의 반복 측정과 유형 수집 이력은 상태 관리 필수. 공유·대화 유발이 목적이라 일관된 이름·이미지 체계가 전제되어야 하며 세션마다 이름이 흔들리면 성립하지 않음","종단 데이터 위에서만 성립. '지난 기간 대비 10점 상승' '3기간 연속 기록' 같은 판정은 세션형 도구가 구조적으로 불가. 소급 재평가는 규칙 이력 관리가 전제","단일 기간 분류는 MCP도 가능. 차별점은 동일 기준으로 기간 간 비교가 되는 것 — 프롬프트 기반 분류는 매번 경계가 흔들려 추세가 나오지 않음. 화행이론(Flores) 기반 행위 분류라 '무슨 대화였나'보다 '어떻게 기여했나'를 안정적으로 반복 측정함",해당 없음 (폐기),"사용자의 주관 입력을 측정값과 나란히 놓는 구조. 단발 요약은 애초에 '본인이 어떻게 생각하는지'를 물어보지 않으므로 격차 자체가 드러나지 않음","낮음 — 추정 자체는 MCP도 가능. 실사용자 익명 집계로 교체되는 시점부터 복제 불가 자산이 됨"
차별화 강도,★★,★★,★★,폐기,★★★,"★
(실집계 전환 시 ★★★)"
구현 난이도,"하
(기존 4분면 + workMode에서 파생, 신규 채점 로직 없음)","하
(기존 Entry·Commitment 재사용, 규칙 테이블만 추가)","하
(LLM 분류 필드 1개, 도메인→행위 명칭 교체)",해당 없음 (폐기),"하
(⑬ + 사용자 입력 1줄 대조)","하
(프롬프트 출력 필드 추가)"
효과성 (사용자 가치),"상 — 진입·리텐션 담당. '넌 무슨 유형이야?' 대화를 유발해 자연 유입 경로가 됨. 도감 수집이 재방문 동기",중상 — 초기 이탈 방지. 소급 지급 덕에 첫 진입 화면이 비지 않음. 다만 단독 가치는 낮고 다른 기능의 보상 표면,"상 — ⑮의 기반이자 '내가 요즘 무슨 방식으로 일하고 있나'라는 질문에 직접 답함. 도메인 분류보다 놀라움이 큼 — 같은 '기획' 얘기를 해도 방향을 제시했는지 조율만 했는지가 갈림","폐기 — 직함과 도메인 비율의 불일치는 대부분의 지식노동자에게 일상이라 경고로 느껴지지 않고, 표준 척도가 측정하는 대상도 아니었음","상 — 와우 모먼트 담당. '기획한 줄 알았는데 진행관리만 했네'라는 자각이 제품 신뢰를 만듦",중 — 절대 점수만으로는 해석이 어려운 문제를 완화. 단 추정값이라 신뢰도 한계를 화면에 명시해야 함
사용 빈도,분석할 때마다 1회 + 도감 수시 조회,분석할 때마다 판정 + 획득 시 배너,분석할 때마다,해당 없음 (폐기),자기인식을 입력한 경우에만,분석할 때마다
출시 단계,1차 (구현 완료),1차 (구현 완료),"1차 (구현 완료)
→ 2026-08 도메인 분류에서 행위 분류로 전면 교체",폐기 (2026-08),1차 (구현 완료),"1차 (임시 추정값)
→ 실사용자 집계 확보 후 교체"
,,,,,,
[범례],,,,,
· 차별화 강도: ★★★ = MCP(범용 AI+Slack 연동) 조합이 구조적으로 복제 불가 / ★★ = 축적·타이밍 요소로 우위 / ★ = 단독으로는 복제 가능,,,,,
